id,word,part_of_speech,difficulty_score,meaning_1,meaning_2,meaning_3
1,i,other,5,私は,私が,私に
2,you,other,5,あなたは,あなたを,君
3,he,other,5,彼は,彼が,
4,she,other,5,彼女は,彼女が,
5,it,other,5,それは,それが,
6,we,other,5,私たちは,私たちが,
7,they,other,5,彼らは,彼らが,
8,this,other,10,これ,この,
9,that,other,10,あれ,あの,その
10,what,other,15,何,何か,
11,who,other,15,誰,誰が,
12,which,other,120,どちら,どの,
13,when,other,20,いつ,~する時,
14,where,other,20,どこ,~する場所,
15,why,other,25,なぜ,,
16,how,other,20,どのように,どう,
17,be,verb,1,~である,いる,ある
18,have,verb,10,持っている,~がある,食べる
19,do,verb,5,する,~する,
20,go,verb,15,行く,,
21,come,verb,15,来る,,
22,get,verb,25,得る,手に入れる,~になる
23,make,verb,20,作る,~させる,
24,see,verb,15,見る,会う,わかる
25,know,verb,25,知っている,わかる,
26,think,verb,30,思う,考える,
27,say,verb,25,言う,,
28,tell,verb,70,話す,教える,伝える
29,take,verb,35,取る,連れて行く,
30,give,verb,30,与える,あげる,
31,use,verb,45,使う,,
32,find,verb,45,見つける,わかる,
33,want,verb,20,欲しい,望む,
34,call,verb,55,呼ぶ,電話する,
35,try,verb,65,試みる,努力する,
36,ask,verb,45,尋ねる,頼む,
37,work,verb,35,働く,動く,
38,feel,verb,55,感じる,~な気がする,
39,become,verb,90,~になる,,
40,leave,verb,95,去る,出発する,残す
41,put,verb,65,置く,,
42,mean,verb,140,意味する,,
43,keep,verb,75,保つ,~し続ける,
44,let,verb,110,~させる,,
45,begin,verb,85,始まる,始める,
46,help,verb,35,助ける,手伝う,
47,show,verb,55,見せる,示す,
48,hear,verb,45,聞こえる,,
49,play,verb,20,遊ぶ,演奏する,
50,run,verb,45,走る,経営する,
51,move,verb,80,動く,引っ越す,
52,live,verb,40,住む,生きる,
53,believe,verb,120,信じる,,
54,bring,verb,85,持ってくる,連れてくる,
55,happen,verb,100,起こる,,
56,write,verb,30,書く,,
57,sit,verb,50,座る,,
58,stand,verb,50,立つ,我慢する,
59,lose,verb,90,失う,負ける,
60,pay,verb,80,払う,,
61,meet,verb,50,会う,出会う,
62,include,verb,600,含む,,
63,continue,verb,350,続ける,続く,
64,set,verb,150,置く,設定する,
65,learn,verb,40,学ぶ,,
66,change,verb,60,変わる,変える,
67,lead,verb,450,導く,率いる,
68,understand,verb,200,理解する,,
69,watch,verb,35,見る,観察する,
